0,1,42900,47103,1
1,0,51480,46194,1
2,1,42900,38910,1
3,0,51480,46062,1
4,2,25740,23988,122
5,2,25740,24684,202
6,1,42900,39005,1
7,2,25740,24685,175
8,1,42900,38853,1
9,0,51480,46278,1
10,1,42900,38872,3
11,0,51480,46187,1
12,1,42900,38885,3
13,1,42900,38857,1
14,2,25740,24537,186
15,0,51480,46497,1
16,0,51480,46164,1
17,0,51480,46137,1
18,0,51480,46233,2
19,1,42900,38949,1
20,0,51480,46488,2
21,0,51480,46275,2
22,2,25740,24255,143
23,2,25740,24261,150
24,2,25740,24633,193
25,2,25740,23967,125
26,0,51480,46266,2
27,0,51480,45927,1
28,2,25740,24477,172
29,0,51480,46335,1
