0,428322
0.5,405882
1,406052
1.5,381092
2,404438
2.5,383078
3,410046
3.5,383427
4,416589
4.5,391710
5,425985
5.5,400746
6,401435
6.5,377975
7,404022
7.5,379563
8,404857
8.5,381157
9,416182
9.5,389122
10,423559
10.5,399820
11,404545
11.5,380626
12,415795
12.5,392755
13,427663
13.5,403543
14,402545
14.5,377246
15,381374
15.5,357974
16,390872
16.5,368372
17,392714
17.5,367535
18,370854
18.5,347355
19,370921
19.5,345901
20,349882
20.5,326002
21,328900
21.5,304321
22,340180
22.5,316141
23,350860
23.5,328420
24,352495
24.5,330295
25,365878
25.5,340519
26,365660
26.5,343781
27,379394
27.5,356135
28,390731
28.5,368051
29,404471
29.5,381992
