0,409683
0.5,387243
1,376197
1.5,351237
2,355878
2.5,334518
3,343033
3.5,316333
4,327871
4.5,302911
5,315592
5.5,290353
6,279733
6.5,256273
7,263740
7.5,239281
8,246025
8.5,222325
9,235711
9.5,208651
10,221500
10.5,197680
11,191218
11.5,167299
12,180895
12.5,157855
13,171163
13.5,147043
14,134722
14.5,109342
15,102253
15.5,78853
16,90058
16.5,67558
17,73287
17.5,48108
18,40257
18.5,16677
19,21677
19.5,0
20,14715
20.5,0
21,6301
21.5,0
22,5104
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,14700
26.5,0
27,13713
27.5,0
28,0
28.5,0
29,12867
29.5,0
