0,405453
0.5,383013
1,383183
1.5,358223
2,381569
2.5,360209
3,364506
3.5,337887
4,360464
4.5,335585
5,369941
5.5,344702
6,345391
6.5,321931
7,347897
7.5,323438
8,348813
8.5,325113
9,349666
9.5,322606
10,357043
10.5,333223
11,337948
11.5,314029
12,349198
12.5,326158
13,361066
13.5,336946
14,336029
14.5,310649
15,314777
15.5,291377
16,313740
16.5,291240
17,315582
17.5,290403
18,293803
18.5,270223
19,293789
19.5,268850
20,272750
20.5,248870
21,251768
21.5,227189
22,263129
22.5,239090
23,273728
23.5,251288
24,275444
24.5,253244
25,288827
25.5,263387
26,288528
26.5,266649
27,291806
27.5,268547
28,303143
28.5,280463
29,316883
29.5,294404
