0,1,64740,56760,1
1,2,38220,59220,0
2,1,64740,55500,0
3,1,64740,56580,0
4,0,77220,60000,0
5,0,77220,58800,0
6,2,38220,57420,0
7,1,64740,55680,0
8,1,64740,55740,0
9,0,77220,59880,0
10,0,77220,57420,0
11,2,38220,53520,0
12,0,77220,55620,0
13,0,77220,57240,0
14,2,38220,61080,0
15,2,38220,53700,0
16,0,77220,57780,0
17,1,64740,58260,0
18,2,38220,54540,0
19,1,64740,58920,0
20,2,38220,54240,0
21,2,38220,56160,0
22,0,77220,55800,0
23,0,77220,55620,0
24,1,64740,55620,0
25,0,77220,57660,0
26,1,64740,54180,0
27,0,77220,55320,0
28,0,77220,55920,0
29,0,77220,53460,0
