0,1,42900,56760,1
1,2,25740,59220,0
2,1,42900,55500,0
3,1,42900,56580,0
4,0,51480,60000,0
5,0,51480,58800,0
6,2,25740,57420,0
7,1,42900,55680,0
8,1,42900,55740,0
9,0,51480,59880,0
10,0,51480,57420,0
11,2,25740,53520,0
12,0,51480,55620,0
13,0,51480,57240,0
14,2,25740,61080,0
15,2,25740,53700,0
16,0,51480,57780,0
17,1,42900,58260,0
18,2,25740,54540,0
19,1,42900,55577,0
20,0,51480,46039,2
21,1,42900,38926,1
22,1,42900,38862,1
23,2,25740,24266,148
24,2,25740,24630,187
25,2,25740,24552,168
26,0,51480,46248,1
27,0,51480,46494,1
28,2,25740,24435,159
29,0,51480,46278,1
