0,2877279
0.5,2854839
1,2866683
1.5,2841804
2,2884143
2.5,2862864
3,2908742
3.5,2882123
4,2936681
4.5,2911802
5,2967593
5.5,2942354
6,2954774
6.5,2931395
7,2976265
7.5,2951806
8,2996097
8.5,2972397
9,3028881
9.5,3001821
10,3057549
10.5,3033729
11,3050061
11.5,3026142
12,3057558
12.5,3034518
13,3057546
13.5,3033426
14,3044190
14.5,3018891
15,3034650
15.5,3011250
16,3057570
16.5,3035070
17,3057558
17.5,3032298
18,3047244
18.5,3023745
19,3057572
19.5,3032552
20,3048035
20.5,3024155
21,3038744
21.5,3014165
22,3057542
22.5,3033422
23,3057455
23.5,3035096
24,3057572
24.5,3035372
25,3057572
25.5,3032132
26,3057565
26.5,3035605
27,3057559
27.5,3034219
28,3057532
28.5,3034852
29,3057550
29.5,3034990
