0,405453
0.5,383013
1,383183
1.5,358223
2,358679
2.5,337319
3,341616
3.5,314916
4,337574
4.5,312695
5,347051
5.5,321812
6,322501
6.5,299041
7,325007
7.5,300548
8,325923
8.5,302223
9,326695
9.5,299635
10,334072
10.5,310333
11,315058
11.5,291139
12,315787
12.5,292828
13,317197
13.5,293077
14,292160
14.5,266780
15,270908
15.5,247508
16,269871
16.5,247371
17,271713
17.5,246534
18,249934
18.5,226354
19,249920
19.5,224981
20,228881
20.5,205001
21,207899
21.5,183320
22,219260
22.5,195221
23,219372
23.5,196932
24,221007
24.5,198807
25,234390
25.5,209031
26,234172
26.5,212293
27,237450
27.5,214110
28,238268
28.5,215588
29,252008
29.5,229529
