0,1,87360,56760,1
1,2,51480,59220,0
2,1,87360,55500,0
3,1,87360,56580,0
4,0,102960,60000,0
5,0,102960,58800,0
6,2,51480,57420,0
7,1,87360,55680,0
8,1,87360,55740,0
9,0,102960,59880,0
10,0,102960,57420,0
11,2,51480,53520,0
12,0,102960,55620,0
13,0,102960,57240,0
14,2,51480,61080,0
15,2,51480,53700,0
16,0,102960,57780,0
17,1,87360,58260,0
18,2,51480,54540,0
19,1,87360,58920,0
20,2,51480,54240,0
21,2,51480,56160,0
22,0,102960,55800,0
23,0,102960,55620,0
24,1,87360,55620,0
25,0,102960,57660,0
26,1,87360,54180,0
27,0,102960,55320,0
28,0,102960,55920,0
29,0,102960,53460,0
