0,447279
0.5,424839
1,436683
1.5,411804
2,454143
2.5,432864
3,478742
3.5,452123
4,506681
4.5,481802
5,537593
5.5,512354
6,524774
6.5,501395
7,546265
7.5,521806
8,566097
8.5,542397
9,598881
9.5,571821
10,627630
10.5,603891
11,620223
11.5,596304
12,652830
12.5,629871
13,686109
13.5,661989
14,672753
14.5,647454
15,663213
15.5,639813
16,694152
16.5,671733
17,715038
17.5,689859
18,704886
18.5,681306
19,723881
19.5,698942
20,714425
20.5,690545
21,705134
21.5,680555
22,737864
22.5,713825
23,770015
23.5,747575
24,790706
24.5,768506
25,825374
25.5,800015
26,844159
26.5,822280
27,879307
27.5,856048
28,912166
28.5,889486
29,947257
29.5,924778
